7,-10,-7,-6,-10,-7,-5,-4,-11,-8,-9,-10,-8,-12,-4,-3,-3,-20,-11,-5
-10,9,-9,-17,-11,-4,-15,-13,-4,-8,-12,-2,-7,-12,-7,-6,-10,-5,-14,-11
-7,-9,9,-1,-17,-7,-5,-6,-2,-8,-10,-4,-15,-12,-9,-2,-5,-11,-7,-12
-6,-17,-1,8,-21,-6,0,-6,-7,-11,-19,-8,-17,-21,-12,-7,-8,-21,-17,-11
-10,-11,-17,-21,10,-20,-20,-13,-10,-9,-21,-20,-20,-19,-11,-6,-11,-22,-7,-9
-7,-4,-7,-6,-20,9,-1,-10,-2,-11,-8,-6,-7,-19,-6,-8,-9,-19,-18,-10
-5,-15,-5,0,-20,-1,8,-7,-9,-8,-13,-7,-10,-20,-9,-7,-9,-23,-11,-10
-4,-13,-6,-6,-13,-10,-7,7,-13,-17,-14,-10,-12,-12,-10,-4,-10,-21,-20,-9
-11,-4,-2,-7,-10,-2,-9,-13,10,-13,-9,-10,-17,-9,-7,-9,-11,-10,-6,-9
-8,-8,-8,-11,-9,-11,-8,-17,-13,9,-4,-9,-3,-5,-12,-10,-5,-20,-9,-1
-9,-12,-10,-19,-21,-8,-13,-14,-9,-4,7,-11,-2,-5,-10,-12,-10,-9,-10,-5
-10,-2,-4,-8,-20,-6,-7,-10,-10,-9,-11,7,-4,-20,-10,-7,-6,-18,-12,-13
-8,-7,-15,-17,-20,-7,-10,-12,-17,-3,-2,-4,12,-7,-11,-8,-7,-19,-17,-4
-12,-12,-12,-21,-19,-19,-20,-12,-9,-5,-5,-20,-7,9,-13,-9,-12,-7,-1,-12
-4,-7,-9,-12,-11,-6,-9,-10,-7,-12,-10,-10,-11,-13,8,-4,-7,-20,-20,-9
-3,-6,-2,-7,-6,-8,-7,-4,-9,-10,-12,-7,-8,-9,-4,7,-2,-8,-10,-10
-3,-10,-5,-8,-11,-9,-9,-10,-11,-5,-10,-6,-7,-12,-7,-2,8,-19,-9,-6
-20,-5,-11,-21,-22,-19,-23,-21,-10,-20,-9,-18,-19,-7,-20,-8,-19,13,-8,-22
-11,-14,-7,-17,-7,-18,-11,-20,-6,-9,-10,-12,-17,-1,-20,-10,-9,-8,10,-10
-5,-11,-12,-11,-9,-10,-10,-9,-9,-1,-5,-13,-4,-12,-9,-10,-6,-22,-10,8
